"Name","Description1","Description2","Description3","Description4","Description5","Price","Stars","Counto","Countp","Countb","Lasto"
"Холодильник Bosch KGV36NL1AR","60x65x185 см","двухкамерный","класс A","морозильник снизу","общий объем 317 л",32990,4.5,NA,17,42,NA
"Холодильник Bravo XR-101WD","45x47x85 см","однокамерный","класс A+","морозильник сверху","общий объем 90 л",7895,5,NA,17,27,NA
"Холодильник ATLANT ХМ 4624-101","59.5x62.9x196.8 см","двухкамерный","класс A+","морозильник снизу","зона свежести",21582,4.5,11,29,41,"Энергоэкономичный, емкий, почти бесшумный, не пахнет пластиком...."
"Холодильник Liebherr SBS 7212","121x63x185.2 см","двухкамерный","класс A+","Side by Side (морозильник сбоку)","общий объем 640 л",95182,4.5,25,34,51,"Среди аналогов - самый большой. В морозилке все полки в виде ящиков, все вытаскиваются, разделены идеально, двигаются ящики очень хорошо. Соотношение холодильник/морозильник - идеальное. Это тогда, кода морозилка осенью используется на 90+ %, к лету ..."
"Холодильник Indesit DF 4180 W","60x64x185 см","двухкамерный","класс A","морозильник снизу","общий объем 302 л",21152,4.5,123,31,129,"Функция NoFrost в обоих отделениях
Красивый внешний и внутренний вид
Один из самых доступных по цене с подобным функционалам..."
"Холодильник BEKO RCNK 310KC0 W","54x60x184 см","двухкамерный","класс A+","морозильник снизу","общий объем 276 л",17250,4.5,4,35,96,NA
"Холодильник ATLANT ХМ 4210-000","54.5x60x161.5 см","двухкамерный","класс A","морозильник снизу","общий объем 212 л",13775,4.5,24,32,96,"Довольно тихий в работе. Хороший объем, особенно морозильная камера на 80л порадовала. Качественная сборка и покрытие...."
"Холодильник Gorenje NRK 6201 GHW","60x60x200 см","двухкамерный","класс A+","морозильник снизу","зона свежести",29258,NA,NA,30,NA,NA
"Холодильник Stinol STN 200","60x64x200 см","двухкамерный","класс A","морозильник снизу","общий объем 359 л",18960,4.5,26,37,68,"Тотальный ноу фрост обеих камер, если раньше приходилось размораживать постоянно, то теперь мне это делать не нужно..."
"Холодильник ATLANT ХМ 4712-100","59.5x62.5x172.9 см","двухкамерный","класс A+","морозильник снизу","общий объем 303 л",16780,5,10,30,51,"Экономичное энергопотребление, вместительный..."
"Холодильник Bosch KGN39VW17R","60x65x200 см","двухкамерный","класс A","морозильник снизу","общий объем 315 л",34232,5,2,31,68,"Удобный, красивый, эргономичный ..."
"Холодильник Whirlpool WTNF 901 X","60x64x200 см","двухкамерный","класс A","морозильник снизу","зона свежести: сухая и влажная",28315,5,5,2,NA,"Совершенно вкусный дизайн. Не надо запариваться с его мытьем. Потому что и сам корпус вообще не маркий. Ничего на нем не видно, просто протираю тряпкой. И в самом холодильнике ничего не надо размораживать. Снега/льда/инея я в нем не вижу. Каких-то ск..."
"Холодильник Бирюса 124","48x60.5x158 см","двухкамерный","класс A","морозильник сверху","общий объем 205 л",11449,4.5,1,51,48,NA
"Холодильник Hansa FK205.4","49.5x53.6x144 см","двухкамерный","класс A+","морозильник снизу","общий объем 156 л",15746,5,1,29,NA,"Морозит хорошо,экономичен в плане энергопотребления, для тех кому нужен узкий холодильник самое оно..."
"Холодильник Samsung RB-30 J3000SA","59.5x66.8x178 см","двухкамерный","класс A+","морозильник снизу","общий объем 311 л",27767,4.5,23,36,74,"Тихий, вместительный, большая морозилка...."
"Холодильник Liebherr CN 4713","60x65.5x201.1 см","двухкамерный","класс A++","морозильник снизу","общий объем 328 л",29191,5,1,33,49,"Огромная морозильная камера
Хорошо держит температуру
Внешний вид..."
"Холодильник LG GA-B429 SQQZ","59.5x64.3x190.7 см","управление со смартфона","двухкамерный","класс A++","морозильник снизу",32013,4.5,13,32,76,"Холодильник очень тихий - почти равномерный постоянный шум, без стука, дребезжания и переключений реле и без резких изменений шума. Можно спать в одной с ним комнате, главное, чтобы стоял передом к кровати.
Образующийся конденсат и иней из-за открыти..."
"Холодильник Liebherr CUwb 3311","55x63x181.2 см","двухкамерный","класс A++","морозильник снизу","общий объем 294 л",32150,4.5,13,28,54,"Приятный внешне, удобные ручки, хороший с т.з. эргономики...."
"Холодильник Candy CCMN 7182 IXS","74.5x70.4x180 см","трехкамерный","морозильник снизу","общий объем 371 л","No Frost",45914,5,1,25,31,"Тихий, большая морозилка, не дорогой...."
"Холодильник Bravo XR-81WD","45x47x68 см","однокамерный","класс A+","морозильник сверху","общий объем 71 л",7378,5,1,16,82,"Соответствует описанию, хороший внешний вид, бесшумный, наличие реальной морозильной камеры с отрицательной температурой, полуавтоматическая оттайка. Механическое управление. Отключение компрессора при достижении заданной температуры внутри. Ровная з..."
"Холодильник Бирюса 139","60x62.5x180 см","двухкамерный","класс A","морозильник сверху","общий объем 320 л",13500,4.5,13,57,51,"Большой морозильник с двумя полками. Маленькая цена за такой большой общий объём. Подставка под 11 яиц...."
"Холодильник BEKO RCNK 356E21 A","59.5x60x201 см","двухкамерный","класс A+","морозильник снизу","зона свежести",24040,4.5,7,28,67,"Отличный холодильник, вместительный, приятного матового цвета, удобно управлять температурой...."
"Холодильник ATLANT ХМ 4010-022","60x63x161 см","двухкамерный","класс A","морозильник снизу","общий объем 283 л",14475,4.5,24,38,152,"Недорогой. Хороший крепкий корпус. Морозит и холодит хорошо. Огромная заморозка при небольших общих габаритах...."
"Холодильник Stinol STN 167","60x64x167 см","двухкамерный","класс A","морозильник снизу","общий объем 290 л",16590,4.5,17,38,64,"За такую небольшую цену очень качественный холодильник, No Frost, большая вместимость..."
